Title,Link
"section 6.0 - downtown zones general provisions(pdf, 131.82 kb)",https://www.hamilton.ca/sites/default/files/2022-05/zoningby-law05-200-section6-0-generalprovisions-nov2021.pdf
06-345 to amend the sewer use by-law 04-150,https://www.hamilton.ca/sites/default/files/2022-02/06-345%20-%20Repealed.pdf
05-115 to amend the site alteration by-law no. 03-126,https://www.hamilton.ca/sites/default/files/2022-02/05-115%20-%20Repealed.pdf
08-065 to amend municipal parks by-law no. 01-219,https://www.hamilton.ca/sites/default/files/2022-02/08-065.pdf
"schedule f: special figures(pdf, 9.9 mb)",https://www.hamilton.ca/sites/default/files/2024-04/zoningby-law05-200-schedule-f-specialfigures-apr2024.pdf
05-200 zoning by-law introduction,https://www.hamilton.ca/sites/default/files/2022-05/zoningby-law05-200-introduction-nov2021.pdf
19-103 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-05/19-103.pdf
15-173-03 omb case no. pl151130 - to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-06/15-173-OMB-03.pdf
19-104 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-05/19-104.pdf
"08-175 to amend by-law no. 07-170, to license and regulate various businesses (taxicab fares)",https://www.hamilton.ca/sites/default/files/2022-02/08-175.pdf
"preferred design concept(pdf, 3.77 mb)",https://www.hamilton.ca/sites/default/files/2022-09/park-sam-lawrence-pic2-concept.pdf
"19-212 to amend by-law no. 18-270, the council procedural by-law",https://www.hamilton.ca/sites/default/files/2022-05/19-212-Repealed.pdf
"pic #1 consultation summary(pdf, 8.54 mb)",https://www.hamilton.ca/sites/default/files/2022-09/park-sam-lawrence-pic1-consultation-summary.pdf
09-262 to amend the sewer and drain by-law no. 06-026,https://www.hamilton.ca/sites/default/files/2024-01/09-262-repealed.pdf
"section: 9.12 - extractive industrial (m12) zone(pdf, 179.63 kb)",https://www.hamilton.ca/sites/default/files/2024-04/zoningby-law05-200-section9-12-m12zone-apr2024.pdf
"pic #1 presentation(pdf, 4.12 mb)",https://www.hamilton.ca/sites/default/files/2022-09/park-sam-lawrence-pic1-presentation.pdf
"18-302 to amend by-law 17-225, to establish a system of administrative penalties",https://www.hamilton.ca/sites/default/files/2022-05/18-302.pdf
"20-258 to amend the sewer and drain by-law no. 06-026, and implement the 2021 fees and charges",https://www.hamilton.ca/sites/default/files/2024-01/20-258-repealed.pdf
05-200 zoning by-law section: 15.2 - residential zones - low density residential - small lot (r1a) zone,https://www.hamilton.ca/sites/default/files/2024-04/zoningby-law05-200-section15-2-ldr-small-lot-r1a-zone1-apr2024.pdf
05-339 to amend fireworks by-law no. 02-285,https://www.hamilton.ca/sites/default/files/2022-02/05-339.pdf
07-358 to amend the sewer use by-law no. 04-150,https://www.hamilton.ca/sites/default/files/2022-03/07-358-Repealed.pdf
"21-148 to amend by-law no. 21-021, the council procedural by-law",https://www.hamilton.ca/sites/default/files/2022-03/21-148.pdf
"hamilton sign by-law - office consolidation(pdf, 580.02 kb)",https://www.hamilton.ca/sites/default/files/2022-05/10-197-Consolidated_Feb222022.pdf
15-236 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-06/15-236.pdf
15-028 to amend the sanitary surcharge and wastewater abatement by-law no. 03-272 and implement the 2015 charges,https://www.hamilton.ca/sites/default/files/2022-06/15-028.pdf
